train_lang,ar,de,en,he,zh
ar,0.9644070195301444,0.6482211043093521,0.6133737148322308,0.717391304347826,0.511240632805995
de,0.6183484290970847,0.967876841020668,0.8590499721048857,0.7440970525972969,0.6378850957535387
en,0.5863996603453155,0.9016910115764591,0.9714274328524747,0.7718612603810454,0.6583680266444629
he,0.7558024341919048,0.8069579974543912,0.7904678409181478,0.9682462139716659,0.647210657785179
zh,0.5170888763090857,0.699072671070974,0.6458515979915518,0.6165119687347338,0.9569525395503747
