,rho,p_value
ar,0.7071067811865475,0.18169011381620928
de,-0.22360679774997896,0.7176856442107861
en,0.4472135954999579,0.45018485575210093
he,-0.7071067811865475,0.18169011381620928
zh,0.0,1.0
