,rho,p_value
ar,0.7071067811865475,0.18169011381620928
de,-0.4472135954999579,0.45018485575210093
en,0.11180339887498948,0.8579446176050993
he,-0.7071067811865475,0.18169011381620928
zh,0.7071067811865475,0.18169011381620928
