train_lang,ar,de,en,he,zh
ar,0.9682281347296915,0.7488332626219771,0.6545389336096278,0.6993160723009282,0.4121565362198168
de,0.7138763090857628,0.9693920843687496,0.8731170797800271,0.7689301416707377,0.4559533721898418
en,0.724278233795641,0.9092066185829444,0.9766079540926118,0.809802963686696,0.4196502914238135
he,0.8207260118879139,0.7818655676101582,0.8252570335538376,0.9727243120013027,0.582098251457119
zh,0.387701669968865,0.4536032486817383,0.37809835020323584,0.4763067904250122,0.9548709408825978
