,en,de,zh,he,ar
en,1.0,0.4587330648114244,0.07828634199926766,0.0224093738557305,0.02878066642255584
de,0.33258999681427204,1.0,0.0673781459063396,0.017840076457470534,0.02495486885419985
zh,0.12887281494876432,0.15298372513562386,1.0,0.0377335744424352,0.049909584086799276
he,0.0726668249821895,0.07979102350985515,0.07432913797197815,1.0,0.07456661125623368
ar,0.05755711775043937,0.06883421206795548,0.06063268892794376,0.045987111892208554,1.0
